ID,coord_x,coord_y,coord_z,mean_activation,std_activation,median_activation,min_activation,max_activation
1,-1023,-582,325,3.6803600788116455,15.993167877197266,2.963042788906023e-07,-6.771866623012102e-09,737.786865234375
2,-1011,-605,325,2.7042644023895264,16.46424674987793,2.1878490485960356e-07,-6.222383941434373e-09,1334.602783203125
3,-1003,-601,325,1.9162875413894653,10.128973960876465,4.905687092104927e-07,-1.3031755230485942e-08,439.44970703125
5,-984,-595,325,0.8408958911895752,3.2112979888916016,1.5610494585871493e-07,-4.499967509730141e-09,138.1312255859375
6,-974,-586,325,1.1562644243240356,4.067150592803955,3.386779923175709e-08,-8.07401756564019e-10,98.91504669189453
7,-902,-582,325,0.9743936061859131,4.101994037628174,6.358358461966418e-08,-2.1609234401864796e-09,181.20379638671875
8,-807,-590,325,4.172667026519775,26.43122100830078,2.7984003736492014e-07,-1.203318067410919e-08,1306.1689453125
9,-797,-580,325,3.0822794437408447,21.126150131225586,2.2817937406216515e-07,-8.500730785954147e-09,964.0720825195312
10,-809,-577,325,3.4298717975616455,29.505891799926758,2.9718418659285817e-07,-1.491956957977436e-08,1418.6546630859375
11,-759,-606,325,10.185091972351074,57.79758834838867,4.905069772576098e-07,-2.865059656187441e-08,1684.455078125
13,-775,-582,325,3.856330156326294,13.139850616455078,1.0504044212211738e-06,-2.4316772595511793e-08,580.295166015625
14,-736,-584,325,6.81209135055542,38.34487533569336,1.6865196528215165e-07,-8.007008389654402e-09,1354.6702880859375
15,-719,-591,325,8.67525863647461,49.44696807861328,9.272450256503362e-07,-4.4998163417631076e-08,1456.31396484375
16,-689,-588,325,6.622400760650635,49.156463623046875,3.287287881903467e-07,-1.2439651975171273e-08,2589.712646484375
17,-685,-604,325,5.26597785949707,23.962186813354492,5.674966701008088e-07,-1.141625904921284e-08,1480.9639892578125
18,-651,-583,325,3.718628406524658,21.80565071105957,8.181897896974988e-07,-1.822784589933235e-08,1399.0186767578125
20,-611,-579,325,7.03429651260376,45.874755859375,9.334740411759412e-07,-3.9168991605720294e-08,1715.17724609375
23,-497,-588,325,6.237074851989746,34.00350570678711,2.1147336326521327e-07,-4.868974112781643e-09,1258.9532470703125
26,-1000,-536,325,1.4087162017822266,10.956454277038574,5.93517128777421e-08,-2.669809262556555e-09,653.6515502929688
27,-1022,-530,325,2.721177339553833,7.666942119598389,2.000464974116767e-06,-2.9988559191451714e-08,272.8912353515625
28,-984,-548,325,1.7569082975387573,6.216395378112793,7.659892844458227e-07,-1.730393783816453e-08,255.29226684570312
29,-950,-563,325,1.0784286260604858,4.799693584442139,3.453400410080576e-08,-8.802060746937457e-10,244.69964599609375
30,-962,-541,325,1.403363585472107,5.78989839553833,9.021911751005973e-08,-2.6211772752304796e-09,213.29559326171875
31,-921,-545,325,0.9191383123397827,3.898646831512451,1.0017524942895761e-07,-2.9558755443304108e-09,140.3517303466797
32,-863,-559,325,1.6619595289230347,9.20273208618164,1.1738835326013941e-07,-5.153795612500289e-09,338.68402099609375
34,-762,-540,325,2.759816884994507,9.129761695861816,1.8453151540143153e-07,-4.325004798744203e-09,183.2135772705078
35,-714,-550,325,9.789145469665527,51.283546447753906,1.0801850294228643e-06,-4.550320298335464e-08,2247.872802734375
