label,ID,trial,trial_type,valid_frames,valid_trial
NaturalVideo,v034999,550,train,300,True
NaturalVideo,v255985,464,train,300,True
NaturalImages,v251064,704,live_test_bonus,310,True
NaturalVideo,v008001,285,train,300,True
NaturalVideo,v159871,383,final_test_main,300,True
NaturalVideo,v106437,147,final_test_main,300,True
NaturalVideo,v298786,301,train,300,True
NaturalVideo,v321770,261,live_test_main,300,True
NaturalVideo,v916063,619,final_test_bonus,300,True
NaturalVideo,v246438,321,live_test_main,300,True
NaturalVideo,v958599,167,train,300,True
NaturalVideo,v440854,400,live_test_bonus,300,True
RandomDots,v722519,433,final_test_bonus,240,True
NaturalVideo,v278293,646,oracle,300,True
NaturalVideo,v731104,71,final_test_bonus,300,True
NaturalVideo,v721879,190,train,300,True
Gabor,v028823,180,final_test_main,300,True
Gabor,v381850,265,train,300,True
RandomDots,v572791,475,live_test_main,240,True
NaturalVideo,v490594,571,final_test_main,300,True
NaturalVideo,v241347,305,train,300,True
Gabor,v390026,152,live_test_main,300,True
RandomDots,v531041,35,final_test_bonus,240,True
NaturalImages,v647926,723,final_test_bonus,320,True
NaturalVideo,v435922,520,train,300,True
Gabor,v054019,291,final_test_bonus,300,True
NaturalVideo,v662159,132,final_test_bonus,300,True
NaturalVideo,v180920,214,final_test_bonus,300,True
NaturalVideo,v443388,430,train,300,True
NaturalVideo,v377470,541,train,300,True
NaturalVideo,v622182,386,final_test_bonus,300,True
NaturalVideo,v648393,232,final_test_main,300,True
NaturalVideo,v968579,340,oracle,300,True
NaturalVideo,v498269,328,train,300,True
NaturalVideo,v924069,630,final_test_bonus,300,True
NaturalVideo,v622182,18,live_test_bonus,300,True
NaturalVideo,v641012,419,train,300,True
NaturalVideo,v162544,177,final_test_main,300,True
NaturalVideo,v071972,330,train,300,True
Gabor,v054019,26,train,300,True
NaturalImages,v738049,716,live_test_main,313,True
NaturalVideo,v321770,633,train,300,True
NaturalVideo,v515054,43,train,300,True
Gabor,v028823,497,train,300,True
NaturalImages,v251064,728,train,310,True
NaturalVideo,v749530,498,train,300,True
Gabor,v903162,169,final_test_main,300,True
NaturalVideo,v648976,282,final_test_main,300,True
RandomDots,v763701,278,final_test_bonus,240,True
NaturalVideo,v622182,215,live_test_bonus,300,True
NaturalImages,v441350,686,train,315,True
NaturalVideo,v458891,324,train,300,True
NaturalVideo,v724476,561,final_test_main,300,True
NaturalVideo,v218595,181,train,300,True
NaturalVideo,v749530,119,final_test_bonus,300,True
NaturalVideo,v075316,614,train,300,True
NaturalVideo,v388119,80,train,300,True
RandomDots,v659762,629,live_test_bonus,240,True
NaturalVideo,v083551,314,train,300,True
NaturalVideo,v509497,354,train,300,True
Gabor,v381850,660,train,300,True
NaturalVideo,v506587,348,train,300,True
NaturalVideo,v908781,604,final_test_main,300,True
NaturalVideo,v413857,626,oracle,300,True
NaturalVideo,v870905,671,train,300,True
NaturalVideo,v980875,657,live_test_main,300,True
NaturalVideo,v143633,3,train,300,True
NaturalVideo,v468825,622,oracle,300,True
RandomDots,v444977,515,train,240,True
NaturalVideo,v437591,393,final_test_bonus,300,True
NaturalVideo,v622182,21,train,300,True
NaturalVideo,v034999,443,train,300,True
NaturalVideo,v470573,511,live_test_main,300,True
NaturalVideo,v648393,678,train,300,True
NaturalVideo,v557332,452,train,300,True
NaturalImages,v441350,708,train,315,True
Gabor,v903162,27,train,300,True
NaturalVideo,v200697,174,live_test_main,300,True
NaturalVideo,v083551,352,oracle,300,True
NaturalVideo,v436074,1,train,300,True
RandomDots,v763701,136,train,240,True
RandomDots,v659762,552,final_test_bonus,240,True
NaturalVideo,v565480,329,live_test_main,300,True
Gabor,v543717,95,train,300,True
NaturalVideo,v582407,115,train,300,True
NaturalVideo,v726956,117,train,300,True
Gabor,v028823,672,train,300,True
NaturalVideo,v831442,410,live_test_main,300,True
NaturalVideo,v622182,146,live_test_main,300,True
Gabor,v543717,59,train,300,True
NaturalVideo,v151522,602,final_test_bonus,300,True
NaturalVideo,v499749,217,train,300,True
NaturalVideo,v743806,61,train,300,True
NaturalVideo,v188102,311,train,300,True
NaturalImages,v647926,720,train,320,True
NaturalVideo,v933371,106,final_test_main,300,True
NaturalVideo,v793286,518,train,300,True
NaturalVideo,v790119,501,train,300,True
Gabor,v054019,374,live_test_bonus,300,True
Gabor,v054019,12,train,300,True
NaturalVideo,v977821,33,oracle,300,True
Gabor,v028823,436,train,300,True
NaturalVideo,v246438,560,train,300,True
Gabor,v028823,472,train,300,True
NaturalVideo,v749530,138,train,300,True
NaturalVideo,v236166,563,final_test_main,300,True
NaturalVideo,v034999,412,live_test_bonus,300,True
RandomDots,v444977,11,final_test_bonus,240,True
NaturalVideo,v377470,359,train,300,True
RandomDots,v659762,508,live_test_bonus,240,True
NaturalVideo,v426407,258,train,300,True
NaturalImages,v441350,737,final_test_main,315,True
Gabor,v381850,486,final_test_main,300,True
NaturalVideo,v148484,676,train,300,True
Gabor,v054019,667,train,300,True
RandomDots,v578618,465,live_test_bonus,240,True
NaturalVideo,v410139,637,final_test_main,300,True
NaturalVideo,v437591,158,live_test_bonus,300,True
NaturalVideo,v358323,241,live_test_bonus,300,True
NaturalImages,v699160,731,live_test_bonus,325,True
NaturalImages,v738049,732,final_test_main,313,True
NaturalVideo,v958599,112,train,300,True
RandomDots,v763701,458,train,240,True
NaturalVideo,v883502,461,train,300,True
NaturalVideo,v243589,627,train,300,True
NaturalVideo,v206848,582,train,300,True
NaturalVideo,v440854,586,train,300,True
NaturalVideo,v214288,415,oracle,300,True
NaturalImages,v647926,687,train,320,True
NaturalVideo,v321770,5,live_test_bonus,300,True
NaturalVideo,v246438,195,train,300,True
NaturalVideo,v113745,607,final_test_main,300,True
NaturalVideo,v622182,661,live_test_main,300,True
NaturalVideo,v963314,499,oracle,300,True
NaturalVideo,v640765,44,train,300,True
NaturalVideo,v827448,544,train,300,True
NaturalVideo,v693412,219,final_test_bonus,300,True
NaturalVideo,v083551,673,train,300,True
NaturalVideo,v377470,269,train,300,True
Gabor,v054019,14,live_test_main,300,True
NaturalVideo,v071972,175,train,300,True
NaturalImages,v497685,725,final_test_bonus,318,True
NaturalVideo,v124608,135,final_test_main,300,True
RandomDots,v578618,268,live_test_main,240,True
RandomDots,v572791,290,train,240,True
NaturalVideo,v292151,413,final_test_bonus,300,True
NaturalVideo,v078828,455,live_test_bonus,300,True
NaturalVideo,v641012,83,oracle,300,True
NaturalVideo,v888199,429,live_test_bonus,300,True
NaturalVideo,v302355,434,train,300,True
NaturalVideo,v622182,343,train,300,True
Gabor,v054019,143,final_test_main,300,True
NaturalVideo,v799987,468,train,300,True
RandomDots,v889455,666,oracle,240,True
NaturalVideo,v924069,46,final_test_main,300,True
NaturalVideo,v284753,322,final_test_bonus,300,True
Gabor,v390026,406,final_test_main,300,True
NaturalVideo,v358323,320,train,300,True
NaturalVideo,v259204,583,train,300,True
NaturalVideo,v124949,110,final_test_main,300,True
NaturalVideo,v284082,466,final_test_main,300,True
NaturalVideo,v034999,559,train,300,True
NaturalVideo,v128404,623,final_test_bonus,300,True
NaturalVideo,v955741,638,train,300,True
NaturalVideo,v454667,141,live_test_bonus,300,True
NaturalVideo,v083551,260,final_test_main,300,True
NaturalVideo,v358323,451,train,300,True
NaturalImages,v647926,711,train,320,True
NaturalVideo,v786396,316,live_test_main,300,True
NaturalVideo,v576129,522,live_test_main,300,True
