ID,coord_x,coord_y,coord_z,mean_activation,min_activation,max_activation,std_activation
1,-1383,-661,200,2.003607455026922,,,
2,-1401,-672,200,1.801738572213533,,,
4,-1386,-678,200,2.0475723019054626,,,
7,-1358,-675,200,2.5053021103949646,,,
9,-1309,-644,200,3.257173999373563,,,
12,-1264,-666,200,3.742689264422559,,,
13,-1236,-659,200,6.7760375388620275,,,
14,-1233,-675,200,5.028710322637824,,,
15,-1209,-659,200,4.134019181404524,,,
17,-1190,-675,200,8.616213110969298,,,
19,-1191,-660,200,7.262042515528752,,,
20,-1160,-661,200,4.7308771627675394,,,
21,-1146,-665,200,2.7256408468879694,,,
22,-1171,-659,200,2.8359162840167706,,,
24,-1060,-678,200,1.8956149818769292,,,
25,-1072,-671,200,1.234539302282704,,,
26,-1024,-676,200,0.8675200753764469,,,
27,-1034,-670,200,0.9373635411526197,,,
28,-1000,-682,200,1.1038199081482412,,,
29,-1013,-670,200,0.7229188103941869,,,
30,-942,-661,200,0.8208574115739118,,,
31,-931,-659,200,0.9180645825906499,,,
32,-917,-661,200,0.8715546700692912,,,
33,-906,-673,200,1.4893296459672436,,,
34,-874,-675,200,2.478676335084926,,,
35,-869,-657,200,1.2601474788874223,,,
37,-839,-677,200,1.4661101221165747,,,
38,-796,-664,200,2.84059058827268,,,
39,-1401,-615,200,1.7654986257509917,,,
40,-1406,-636,200,1.6913522906525544,,,
41,-1371,-627,200,2.03462078560659,,,
42,-1339,-623,200,9.772143443090226,,,
43,-1356,-621,200,3.345126805705892,,,
44,-1293,-622,200,5.1870721538083835,,,
45,-1310,-619,200,4.069886700393807,,,
46,-1257,-626,200,4.60455953187787,,,
47,-1277,-639,200,6.3224477147999725,,,
48,-1255,-638,200,5.201872693754769,,,
49,-1224,-604,200,8.373542006884271,,,
51,-1199,-626,200,11.390940784318307,,,
52,-1190,-626,200,23.21989352265009,,,
54,-1154,-634,200,5.683871674355273,,,
55,-1140,-623,200,5.42352738195558,,,
56,-1174,-614,200,4.407309994657217,,,
57,-1103,-638,200,2.244491967504024,,,
58,-1109,-626,200,7.2824537120145445,,,
59,-1120,-619,200,2.60312630762343,,,
61,-1037,-610,200,2.9751759641660467,,,
62,-1037,-620,200,0.8905265418175984,,,
63,-990,-603,200,2.226969582908614,,,
64,-971,-614,200,1.4993000659287448,,,
65,-953,-617,200,6.119341282833418,,,
66,-953,-605,200,2.837416798756648,,,
67,-943,-629,200,2.1414733116218865,,,
68,-960,-617,200,1.9510926829277242,,,
69,-905,-621,200,1.548815287124203,,,
70,-924,-627,200,1.7289320655326559,,,
71,-900,-634,200,2.0702044254220344,,,
72,-866,-632,200,0.9832734576107872,,,
73,-863,-617,200,1.5298781489221318,,,
74,-850,-639,200,1.4057632794175423,,,
75,-848,-623,200,1.3179634114070893,,,
76,-887,-629,200,1.0504483173001198,,,
77,-796,-618,200,4.216069183169079,,,
79,-1327,-579,200,4.958531702124352,,,
80,-1317,-585,200,5.811073495464789,,,
