recording,label,ID,trial,trial_type,valid_frames,valid_trial,valid_frames_video,valid_frames_response
dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce,PinkNoise,v391908,203,final_test_bonus,324,True,324,324
dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce,NaturalVideo,v191606,193,live_test_main,300,True,300,300
dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce,NaturalVideo,v259199,459,train,300,True,300,300
dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce,NaturalVideo,v317244,19,live_test_main,300,True,300,300
dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce,NaturalVideo,v531838,289,train,300,True,300,300
dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce,NaturalVideo,v064550,576,train,300,True,300,300
dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce,NaturalVideo,v741921,26,train,300,True,300,300
dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce,NaturalImages,v582341,685,live_test_bonus,306,True,306,306
dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce,NaturalVideo,v233418,476,final_test_main,300,True,300,300
dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce,PinkNoise,v331596,209,final_test_bonus,324,True,324,324
dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce,PinkNoise,v577941,557,final_test_bonus,324,True,324,324
dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce,NaturalVideo,v521056,395,train,300,True,300,300
dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce,NaturalVideo,v696952,616,train,300,True,300,300
dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce,NaturalVideo,v719455,78,train,300,True,300,300
dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce,NaturalVideo,v074615,18,final_test_main,300,True,300,300
dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce,PinkNoise,v391908,324,final_test_bonus,324,True,324,324
dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce,NaturalImages,v090089,696,live_test_bonus,313,True,313,313
dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce,NaturalVideo,v801983,431,train,300,True,300,300
dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce,GaussianDot,v452255,375,final_test_bonus,315,True,315,315
dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce,NaturalVideo,v823664,633,train,300,True,300,300
dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce,NaturalVideo,v797605,163,train,300,True,300,300
dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce,NaturalVideo,v863489,516,train,300,True,300,300
dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce,PinkNoise,v331596,121,final_test_bonus,324,True,324,324
dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce,NaturalImages,v969497,665,live_test_bonus,313,True,313,313
dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce,NaturalVideo,v584026,34,train,300,True,300,300
dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce,NaturalVideo,v055111,528,train,300,True,300,300
dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce,NaturalVideo,v074489,148,train,300,True,300,300
dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce,NaturalVideo,v653118,507,train,300,True,300,300
dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce,NaturalVideo,v695345,429,train,300,True,300,300
dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce,GaussianDot,v336984,8,final_test_bonus,315,True,315,315
dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce,NaturalVideo,v605130,575,train,300,True,300,300
dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce,NaturalVideo,v575800,71,train,300,True,300,300
dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce,NaturalVideo,v284270,115,train,300,True,300,300
dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce,NaturalVideo,v301734,629,train,300,True,300,300
dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce,NaturalVideo,v065630,246,final_test_main,300,True,300,300
dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce,NaturalImages,v065428,691,live_test_bonus,326,True,326,326
dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce,NaturalVideo,v289130,566,train,300,True,300,300
dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce,NaturalVideo,v759370,506,train,300,True,300,300
dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce,NaturalVideo,v317244,4,live_test_main,300,True,300,300
dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce,NaturalVideo,v191606,443,live_test_main,300,True,300,300
dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce,NaturalImages,v090089,706,live_test_bonus,313,True,313,313
dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce,GaussianDot,v349458,314,final_test_bonus,315,True,315,315
dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce,NaturalVideo,v354494,36,oracle,300,True,300,300
dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce,PinkNoise,v719390,296,final_test_bonus,324,True,324,324
dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce,NaturalVideo,v388612,295,live_test_main,300,True,300,300
dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce,NaturalVideo,v821599,86,oracle,300,True,300,300
dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce,GaussianDot,v659477,527,final_test_bonus,315,True,315,315
dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce,PinkNoise,v331596,657,final_test_bonus,324,True,324,324
dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce,NaturalVideo,v191606,544,live_test_main,300,True,300,300
dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce,NaturalVideo,v749883,23,oracle,300,True,300,300
dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce,NaturalVideo,v676853,555,train,300,True,300,300
dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce,NaturalVideo,v074615,646,final_test_main,300,True,300,300
dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce,NaturalVideo,v898332,536,train,300,True,300,300
dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce,NaturalVideo,v191606,89,live_test_main,300,True,300,300
dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce,NaturalVideo,v038680,563,train,300,True,300,300
dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce,GaussianDot,v659477,499,final_test_bonus,315,True,315,315
dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce,NaturalVideo,v799850,1,train,300,True,300,300
dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce,NaturalVideo,v358861,221,live_test_main,300,True,300,300
dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce,NaturalImages,v139482,716,live_test_bonus,310,True,310,310
dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce,NaturalVideo,v243835,271,train,300,True,300,300
dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce,NaturalVideo,v017935,408,train,300,True,300,300
dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce,NaturalVideo,v886862,207,train,300,True,300,300
dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce,NaturalVideo,v821599,157,oracle,300,True,300,300
dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce,NaturalVideo,v749883,215,oracle,300,True,300,300
dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce,NaturalVideo,v925742,462,train,300,True,300,300
dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce,NaturalVideo,v077982,14,train,300,True,300,300
dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce,NaturalVideo,v074615,391,final_test_main,300,True,300,300
dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce,NaturalVideo,v735357,105,train,300,True,300,300
