label,ID,trial,trial_type,valid_frames,valid_trial
NaturalVideo,v891852,550,train,300,True
RandomDots,v387250,464,train,240,True
NaturalVideo,v755178,704,live_test_bonus,300,True
NaturalVideo,v283301,285,train,300,True
NaturalVideo,v033180,383,live_test_main,300,True
NaturalVideo,v714642,147,oracle,300,True
NaturalVideo,v570779,301,train,300,True
NaturalVideo,v419666,261,live_test_main,300,True
GaussianDot,v809734,619,final_test_bonus,315,True
NaturalVideo,v026579,321,final_test_main,300,True
RandomDots,v376039,167,train,240,True
NaturalVideo,v256007,400,final_test_bonus,300,True
NaturalVideo,v297802,433,final_test_bonus,300,True
NaturalVideo,v884966,646,live_test_main,300,True
NaturalVideo,v736733,71,final_test_bonus,300,True
NaturalVideo,v394780,190,final_test_bonus,300,True
Gabor,v547581,180,train,300,True
NaturalVideo,v394780,265,final_test_main,300,True
GaussianDot,v904282,475,train,315,True
NaturalVideo,v514298,571,final_test_main,300,True
NaturalVideo,v113546,305,live_test_main,300,True
NaturalVideo,v164345,152,train,300,True
NaturalVideo,v576345,35,final_test_main,300,True
NaturalVideo,v020313,723,final_test_bonus,300,True
NaturalVideo,v408023,520,final_test_bonus,300,True
NaturalVideo,v548565,291,final_test_bonus,300,True
NaturalVideo,v305737,132,train,300,True
NaturalVideo,v152837,214,final_test_bonus,300,True
NaturalVideo,v750276,430,final_test_bonus,300,True
NaturalVideo,v017876,541,final_test_bonus,300,True
Gabor,v903646,386,train,300,True
NaturalVideo,v605551,232,train,300,True
NaturalVideo,v889685,340,final_test_bonus,300,True
Gabor,v802843,328,live_test_main,300,True
NaturalVideo,v075874,630,oracle,300,True
NaturalVideo,v196977,18,train,300,True
NaturalVideo,v653033,419,final_test_bonus,300,True
RandomDots,v382274,177,final_test_bonus,240,True
NaturalVideo,v035861,330,final_test_bonus,300,True
NaturalVideo,v772003,26,train,300,True
RandomDots,v465514,716,live_test_main,240,True
NaturalVideo,v476690,633,train,300,True
NaturalVideo,v017876,43,train,300,True
Gabor,v903646,497,final_test_main,300,True
NaturalVideo,v819808,498,train,300,True
GaussianDot,v664518,169,final_test_bonus,315,True
NaturalVideo,v998205,282,train,300,True
Gabor,v903646,278,train,300,True
NaturalVideo,v108019,215,train,300,True
NaturalVideo,v688820,686,train,300,True
GaussianDot,v904282,324,live_test_main,315,True
NaturalVideo,v863795,561,oracle,300,True
Gabor,v720842,181,final_test_bonus,300,True
NaturalVideo,v666053,119,live_test_main,300,True
Gabor,v516325,614,train,300,True
