recording,label,trial,trial_type,video_ID,valid_frames,valid_trial,valid_frames_video,valid_frames_response,valid_frames_pupil,valid_frames_gaze,valid_frames_locomotion,valid_video,valid_response,valid_pupil,valid_gaze,valid_locomotion
dynamic29514-2-9-Video-8744edeac3b4d1ce16b680916b5267ce,NaturalVideo,203,train,v219263,300,True,300,300,315,300,315,True,True,True,True,True
dynamic29514-2-9-Video-8744edeac3b4d1ce16b680916b5267ce,NaturalVideo,193,final_test_main,v675467,300,True,300,300,315,300,315,True,True,True,True,True
dynamic29514-2-9-Video-8744edeac3b4d1ce16b680916b5267ce,RandomDots,459,final_test_bonus,v573566,240,True,240,240,315,240,315,True,True,True,True,True
dynamic29514-2-9-Video-8744edeac3b4d1ce16b680916b5267ce,NaturalVideo,19,final_test_main,v471826,300,True,300,300,315,300,315,True,True,True,True,True
dynamic29514-2-9-Video-8744edeac3b4d1ce16b680916b5267ce,RandomDots,289,final_test_bonus,v838423,240,True,240,240,315,240,315,True,True,True,True,True
dynamic29514-2-9-Video-8744edeac3b4d1ce16b680916b5267ce,RandomDots,25,final_test_bonus,v524461,240,True,240,240,315,240,315,True,True,True,True,True
dynamic29514-2-9-Video-8744edeac3b4d1ce16b680916b5267ce,NaturalVideo,576,train,v626632,300,True,300,300,315,300,315,True,True,True,True,True
dynamic29514-2-9-Video-8744edeac3b4d1ce16b680916b5267ce,NaturalVideo,26,train,v474117,300,True,300,300,315,300,315,True,True,True,True,True
dynamic29514-2-9-Video-8744edeac3b4d1ce16b680916b5267ce,NaturalVideo,685,live_test_main,v713357,300,True,300,300,315,300,315,True,True,True,True,True
dynamic29514-2-9-Video-8744edeac3b4d1ce16b680916b5267ce,NaturalVideo,476,train,v290780,300,True,300,300,315,300,315,True,True,True,True,True
dynamic29514-2-9-Video-8744edeac3b4d1ce16b680916b5267ce,RandomDots,209,final_test_bonus,v082081,240,True,240,240,315,240,315,True,True,True,True,True
dynamic29514-2-9-Video-8744edeac3b4d1ce16b680916b5267ce,GaussianDot,557,live_test_bonus,v354771,315,True,315,315,315,315,315,True,True,True,True,True
dynamic29514-2-9-Video-8744edeac3b4d1ce16b680916b5267ce,NaturalVideo,395,train,v607353,300,True,300,300,315,300,315,True,True,True,True,True
dynamic29514-2-9-Video-8744edeac3b4d1ce16b680916b5267ce,NaturalVideo,616,train,v932842,300,True,300,300,315,300,315,True,True,True,True,True
dynamic29514-2-9-Video-8744edeac3b4d1ce16b680916b5267ce,NaturalVideo,78,train,v219931,300,True,300,300,315,300,315,True,True,True,True,True
dynamic29514-2-9-Video-8744edeac3b4d1ce16b680916b5267ce,NaturalVideo,18,train,v031655,300,True,300,300,315,300,315,True,True,True,True,True
dynamic29514-2-9-Video-8744edeac3b4d1ce16b680916b5267ce,NaturalVideo,645,final_test_main,v511009,300,True,300,300,315,300,315,True,True,True,True,True
dynamic29514-2-9-Video-8744edeac3b4d1ce16b680916b5267ce,GaussianDot,324,live_test_bonus,v926184,315,True,315,315,315,315,315,True,True,True,True,True
dynamic29514-2-9-Video-8744edeac3b4d1ce16b680916b5267ce,NaturalVideo,696,train,v561634,300,True,300,300,315,300,315,True,True,True,True,True
dynamic29514-2-9-Video-8744edeac3b4d1ce16b680916b5267ce,RandomDots,375,final_test_bonus,v160576,240,True,240,240,315,240,315,True,True,True,True,True
dynamic29514-2-9-Video-8744edeac3b4d1ce16b680916b5267ce,NaturalVideo,633,train,v507522,300,True,300,300,315,300,315,True,True,True,True,True
dynamic29514-2-9-Video-8744edeac3b4d1ce16b680916b5267ce,NaturalVideo,163,final_test_main,v472520,300,True,300,300,315,300,315,True,True,True,True,True
dynamic29514-2-9-Video-8744edeac3b4d1ce16b680916b5267ce,NaturalVideo,516,final_test_main,v691127,300,True,300,300,315,300,315,True,True,True,True,True
dynamic29514-2-9-Video-8744edeac3b4d1ce16b680916b5267ce,NaturalVideo,121,train,v845318,300,True,300,300,315,300,315,True,True,True,True,True
dynamic29514-2-9-Video-8744edeac3b4d1ce16b680916b5267ce,NaturalVideo,665,train,v128848,300,True,300,300,315,300,315,True,True,True,True,True
dynamic29514-2-9-Video-8744edeac3b4d1ce16b680916b5267ce,NaturalVideo,34,oracle,v876831,300,True,300,300,315,300,315,True,True,True,True,True
dynamic29514-2-9-Video-8744edeac3b4d1ce16b680916b5267ce,NaturalVideo,528,train,v653580,300,True,300,300,315,300,315,True,True,True,True,True
dynamic29514-2-9-Video-8744edeac3b4d1ce16b680916b5267ce,GaussianDot,148,live_test_bonus,v952145,315,True,315,315,315,315,315,True,True,True,True,True
dynamic29514-2-9-Video-8744edeac3b4d1ce16b680916b5267ce,NaturalVideo,507,live_test_main,v664446,300,True,300,300,315,300,315,True,True,True,True,True
dynamic29514-2-9-Video-8744edeac3b4d1ce16b680916b5267ce,NaturalVideo,429,final_test_main,v019133,300,True,300,300,315,300,315,True,True,True,True,True
dynamic29514-2-9-Video-8744edeac3b4d1ce16b680916b5267ce,RandomDots,8,final_test_bonus,v961996,240,True,240,240,315,240,315,True,True,True,True,True
dynamic29514-2-9-Video-8744edeac3b4d1ce16b680916b5267ce,NaturalVideo,575,final_test_main,v471826,300,True,300,300,315,300,315,True,True,True,True,True
dynamic29514-2-9-Video-8744edeac3b4d1ce16b680916b5267ce,NaturalVideo,71,train,v438771,300,True,300,300,315,300,315,True,True,True,True,True
dynamic29514-2-9-Video-8744edeac3b4d1ce16b680916b5267ce,NaturalVideo,115,train,v654526,300,True,300,300,315,300,315,True,True,True,True,True
