recording,label,ID,trial,trial_type,valid_frames,valid_trial,valid_frames_video,valid_frames_response
dynamic29623-4-9-Video-9b4f6a1a067fe51e15306b9628efea20,RandomDots,v763701,203,oracle,240,True,240,325
dynamic29623-4-9-Video-9b4f6a1a067fe51e15306b9628efea20,NaturalVideo,v968579,193,oracle,300,True,300,300
dynamic29623-4-9-Video-9b4f6a1a067fe51e15306b9628efea20,NaturalImages,v497685,459,train,318,True,318,325
dynamic29623-4-9-Video-9b4f6a1a067fe51e15306b9628efea20,NaturalVideo,v622182,19,final_test_bonus,300,True,300,325
dynamic29623-4-9-Video-9b4f6a1a067fe51e15306b9628efea20,NaturalVideo,v580618,289,final_test_bonus,300,True,300,325
dynamic29623-4-9-Video-9b4f6a1a067fe51e15306b9628efea20,Gabor,v903162,25,train,300,True,300,325
dynamic29623-4-9-Video-9b4f6a1a067fe51e15306b9628efea20,RandomDots,v444977,576,final_test_main,240,True,240,325
dynamic29623-4-9-Video-9b4f6a1a067fe51e15306b9628efea20,NaturalVideo,v571683,26,train,300,True,300,300
dynamic29623-4-9-Video-9b4f6a1a067fe51e15306b9628efea20,NaturalVideo,v738108,476,final_test_bonus,300,True,300,300
dynamic29623-4-9-Video-9b4f6a1a067fe51e15306b9628efea20,NaturalVideo,v312140,209,train,300,True,300,300
dynamic29623-4-9-Video-9b4f6a1a067fe51e15306b9628efea20,NaturalVideo,v622182,557,train,300,True,300,325
dynamic29623-4-9-Video-9b4f6a1a067fe51e15306b9628efea20,NaturalVideo,v101155,395,train,300,True,300,300
dynamic29623-4-9-Video-9b4f6a1a067fe51e15306b9628efea20,NaturalVideo,v075316,616,train,300,True,300,300
dynamic29623-4-9-Video-9b4f6a1a067fe51e15306b9628efea20,NaturalVideo,v109185,78,train,300,True,300,300
dynamic29623-4-9-Video-9b4f6a1a067fe51e15306b9628efea20,NaturalVideo,v349253,18,train,300,True,300,300
dynamic29623-4-9-Video-9b4f6a1a067fe51e15306b9628efea20,NaturalVideo,v901731,645,live_test_main,300,True,300,300
dynamic29623-4-9-Video-9b4f6a1a067fe51e15306b9628efea20,NaturalVideo,v241347,324,train,300,True,300,300
dynamic29623-4-9-Video-9b4f6a1a067fe51e15306b9628efea20,NaturalImages,v647926,431,final_test_main,320,True,320,325
dynamic29623-4-9-Video-9b4f6a1a067fe51e15306b9628efea20,NaturalVideo,v509497,375,train,300,True,300,300
dynamic29623-4-9-Video-9b4f6a1a067fe51e15306b9628efea20,NaturalVideo,v034999,633,live_test_main,300,True,300,300
dynamic29623-4-9-Video-9b4f6a1a067fe51e15306b9628efea20,NaturalVideo,v073467,163,train,300,True,300,300
dynamic29623-4-9-Video-9b4f6a1a067fe51e15306b9628efea20,Gabor,v390026,516,train,300,True,300,325
dynamic29623-4-9-Video-9b4f6a1a067fe51e15306b9628efea20,NaturalVideo,v726956,121,final_test_bonus,300,True,300,300
dynamic29623-4-9-Video-9b4f6a1a067fe51e15306b9628efea20,NaturalVideo,v071972,665,train,300,True,300,325
dynamic29623-4-9-Video-9b4f6a1a067fe51e15306b9628efea20,NaturalVideo,v246438,34,train,300,True,300,300
dynamic29623-4-9-Video-9b4f6a1a067fe51e15306b9628efea20,NaturalVideo,v415859,528,train,300,True,300,300
dynamic29623-4-9-Video-9b4f6a1a067fe51e15306b9628efea20,NaturalVideo,v027483,148,final_test_bonus,300,True,300,300
dynamic29623-4-9-Video-9b4f6a1a067fe51e15306b9628efea20,NaturalVideo,v437591,507,train,300,True,300,325
dynamic29623-4-9-Video-9b4f6a1a067fe51e15306b9628efea20,NaturalImages,v738049,429,train,313,True,313,325
dynamic29623-4-9-Video-9b4f6a1a067fe51e15306b9628efea20,Gabor,v543717,8,final_test_bonus,300,True,300,325
dynamic29623-4-9-Video-9b4f6a1a067fe51e15306b9628efea20,Gabor,v903162,575,train,300,True,300,325
dynamic29623-4-9-Video-9b4f6a1a067fe51e15306b9628efea20,NaturalImages,v441350,71,live_test_bonus,315,True,315,325
dynamic29623-4-9-Video-9b4f6a1a067fe51e15306b9628efea20,RandomDots,v531041,115,train,240,True,240,325
dynamic29623-4-9-Video-9b4f6a1a067fe51e15306b9628efea20,NaturalVideo,v815121,629,train,300,True,300,300
dynamic29623-4-9-Video-9b4f6a1a067fe51e15306b9628efea20,NaturalImages,v647926,246,live_test_bonus,320,True,320,325
dynamic29623-4-9-Video-9b4f6a1a067fe51e15306b9628efea20,NaturalVideo,v329444,566,train,300,True,300,300
dynamic29623-4-9-Video-9b4f6a1a067fe51e15306b9628efea20,NaturalVideo,v071972,506,train,300,True,300,325
dynamic29623-4-9-Video-9b4f6a1a067fe51e15306b9628efea20,NaturalVideo,v924069,4,train,300,True,300,325
dynamic29623-4-9-Video-9b4f6a1a067fe51e15306b9628efea20,NaturalVideo,v214288,443,oracle,300,True,300,300
dynamic29623-4-9-Video-9b4f6a1a067fe51e15306b9628efea20,NaturalVideo,v817821,314,live_test_main,300,True,300,300
dynamic29623-4-9-Video-9b4f6a1a067fe51e15306b9628efea20,Gabor,v390026,36,train,300,True,300,325
dynamic29623-4-9-Video-9b4f6a1a067fe51e15306b9628efea20,NaturalVideo,v080404,296,live_test_main,300,True,300,300
dynamic29623-4-9-Video-9b4f6a1a067fe51e15306b9628efea20,NaturalVideo,v588239,295,oracle,300,True,300,300
dynamic29623-4-9-Video-9b4f6a1a067fe51e15306b9628efea20,NaturalVideo,v637377,86,train,300,True,300,300
dynamic29623-4-9-Video-9b4f6a1a067fe51e15306b9628efea20,NaturalVideo,v576129,527,train,300,True,300,300
dynamic29623-4-9-Video-9b4f6a1a067fe51e15306b9628efea20,NaturalVideo,v622182,657,train,300,True,300,325
dynamic29623-4-9-Video-9b4f6a1a067fe51e15306b9628efea20,NaturalVideo,v377470,544,final_test_main,300,True,300,325
dynamic29623-4-9-Video-9b4f6a1a067fe51e15306b9628efea20,Gabor,v054019,23,final_test_bonus,300,True,300,325
dynamic29623-4-9-Video-9b4f6a1a067fe51e15306b9628efea20,RandomDots,v659762,555,final_test_bonus,240,True,240,325
dynamic29623-4-9-Video-9b4f6a1a067fe51e15306b9628efea20,RandomDots,v889455,646,final_test_main,240,True,240,325
dynamic29623-4-9-Video-9b4f6a1a067fe51e15306b9628efea20,NaturalVideo,v351943,536,final_test_bonus,300,True,300,300
