recording,label,video_ID,trial,trial_type,valid_frames,valid_trial,valid_frames_video,valid_frames_response,valid_response
dynamic29712-5-9-Video-9b4f6a1a067fe51e15306b9628efea20,NaturalVideo,v219263,203,train,300,True,300,300,True
dynamic29712-5-9-Video-9b4f6a1a067fe51e15306b9628efea20,NaturalVideo,v675467,193,live_test_main,300,True,300,315,False
dynamic29712-5-9-Video-9b4f6a1a067fe51e15306b9628efea20,RandomDots,v573566,459,live_test_bonus,240,True,240,315,False
dynamic29712-5-9-Video-9b4f6a1a067fe51e15306b9628efea20,NaturalVideo,v471826,19,live_test_main,300,True,300,315,False
dynamic29712-5-9-Video-9b4f6a1a067fe51e15306b9628efea20,RandomDots,v838423,289,live_test_bonus,240,True,240,315,False
dynamic29712-5-9-Video-9b4f6a1a067fe51e15306b9628efea20,RandomDots,v524461,25,live_test_bonus,240,True,240,315,False
dynamic29712-5-9-Video-9b4f6a1a067fe51e15306b9628efea20,NaturalVideo,v626632,576,train,300,True,300,300,True
dynamic29712-5-9-Video-9b4f6a1a067fe51e15306b9628efea20,NaturalVideo,v474117,26,train,300,True,300,300,True
dynamic29712-5-9-Video-9b4f6a1a067fe51e15306b9628efea20,NaturalVideo,v713357,685,final_test_main,300,True,300,315,False
dynamic29712-5-9-Video-9b4f6a1a067fe51e15306b9628efea20,NaturalVideo,v290780,476,train,300,True,300,300,True
dynamic29712-5-9-Video-9b4f6a1a067fe51e15306b9628efea20,RandomDots,v082081,209,live_test_bonus,240,True,240,315,False
dynamic29712-5-9-Video-9b4f6a1a067fe51e15306b9628efea20,GaussianDot,v354771,557,final_test_bonus,315,True,315,315,False
dynamic29712-5-9-Video-9b4f6a1a067fe51e15306b9628efea20,NaturalVideo,v607353,395,train,300,True,300,300,True
dynamic29712-5-9-Video-9b4f6a1a067fe51e15306b9628efea20,NaturalVideo,v932842,616,train,300,True,300,300,True
dynamic29712-5-9-Video-9b4f6a1a067fe51e15306b9628efea20,NaturalVideo,v219931,78,train,300,True,300,300,True
dynamic29712-5-9-Video-9b4f6a1a067fe51e15306b9628efea20,NaturalVideo,v031655,18,train,300,True,300,300,True
dynamic29712-5-9-Video-9b4f6a1a067fe51e15306b9628efea20,NaturalVideo,v511009,645,oracle,300,True,300,300,True
dynamic29712-5-9-Video-9b4f6a1a067fe51e15306b9628efea20,GaussianDot,v926184,324,final_test_bonus,315,True,315,315,False
dynamic29712-5-9-Video-9b4f6a1a067fe51e15306b9628efea20,NaturalVideo,v561634,696,train,300,True,300,300,True
dynamic29712-5-9-Video-9b4f6a1a067fe51e15306b9628efea20,NaturalVideo,v460832,431,train,300,True,300,300,True
