recording,label,trial,trial_type,video_ID,valid_frames,valid_trial,valid_frames_video,valid_frames_response,valid_frames_pupil,valid_frames_gaze,valid_frames_locomotion,valid_video,valid_response,valid_pupil,valid_gaze,valid_locomotion
dynamic29755-2-8-Video-9b4f6a1a067fe51e15306b9628efea20,Gabor,203,final_test_bonus,v506840,300,True,300,414,414,300,414,True,False,True,True,True
dynamic29755-2-8-Video-9b4f6a1a067fe51e15306b9628efea20,NaturalVideo,193,oracle,v663630,300,True,300,300,414,300,414,True,True,True,True,True
dynamic29755-2-8-Video-9b4f6a1a067fe51e15306b9628efea20,NaturalVideo,459,train,v630528,300,True,300,300,414,300,414,True,True,True,True,True
dynamic29755-2-8-Video-9b4f6a1a067fe51e15306b9628efea20,NaturalVideo,19,oracle,v663630,300,True,300,300,414,300,414,True,True,True,True,True
dynamic29755-2-8-Video-9b4f6a1a067fe51e15306b9628efea20,NaturalVideo,289,train,v049913,300,True,300,300,414,300,414,True,True,True,True,True
dynamic29755-2-8-Video-9b4f6a1a067fe51e15306b9628efea20,NaturalVideo,25,train,v406966,300,True,300,300,414,300,414,True,True,True,True,True
dynamic29755-2-8-Video-9b4f6a1a067fe51e15306b9628efea20,NaturalVideo,576,train,v701198,300,True,300,300,414,300,414,True,True,True,True,True
dynamic29755-2-8-Video-9b4f6a1a067fe51e15306b9628efea20,Gabor,26,final_test_bonus,v301368,300,True,300,414,414,300,414,True,False,True,True,True
dynamic29755-2-8-Video-9b4f6a1a067fe51e15306b9628efea20,NaturalVideo,685,train,v759814,300,True,300,300,414,300,414,True,True,True,True,True
dynamic29755-2-8-Video-9b4f6a1a067fe51e15306b9628efea20,NaturalVideo,476,train,v583090,300,True,300,300,414,300,414,True,True,True,True,True
dynamic29755-2-8-Video-9b4f6a1a067fe51e15306b9628efea20,NaturalVideo,209,train,v981574,300,True,300,300,414,300,414,True,True,True,True,True
dynamic29755-2-8-Video-9b4f6a1a067fe51e15306b9628efea20,NaturalVideo,557,train,v134851,300,True,300,300,414,300,414,True,True,True,True,True
dynamic29755-2-8-Video-9b4f6a1a067fe51e15306b9628efea20,NaturalVideo,395,oracle,v365004,300,True,300,300,414,300,414,True,True,True,True,True
dynamic29755-2-8-Video-9b4f6a1a067fe51e15306b9628efea20,NaturalVideo,616,final_test_main,v096291,300,True,300,414,414,300,414,True,False,True,True,True
dynamic29755-2-8-Video-9b4f6a1a067fe51e15306b9628efea20,NaturalVideo,78,final_test_main,v228338,300,True,300,414,414,300,414,True,False,True,True,True
dynamic29755-2-8-Video-9b4f6a1a067fe51e15306b9628efea20,NaturalVideo,18,train,v248360,300,True,300,300,414,300,414,True,True,True,True,True
dynamic29755-2-8-Video-9b4f6a1a067fe51e15306b9628efea20,NaturalVideo,645,final_test_main,v772353,300,True,300,414,414,300,414,True,False,True,True,True
dynamic29755-2-8-Video-9b4f6a1a067fe51e15306b9628efea20,NaturalVideo,324,final_test_main,v614244,300,True,300,414,414,300,414,True,False,True,True,True
dynamic29755-2-8-Video-9b4f6a1a067fe51e15306b9628efea20,NaturalImages,696,live_test_bonus,v609482,317,True,317,414,414,317,414,True,False,True,True,True
dynamic29755-2-8-Video-9b4f6a1a067fe51e15306b9628efea20,NaturalVideo,431,train,v043629,300,True,300,300,414,300,414,True,True,True,True,True
dynamic29755-2-8-Video-9b4f6a1a067fe51e15306b9628efea20,NaturalVideo,375,train,v747997,300,True,300,300,414,300,414,True,True,True,True,True
dynamic29755-2-8-Video-9b4f6a1a067fe51e15306b9628efea20,NaturalVideo,633,train,v150137,300,True,300,300,414,300,414,True,True,True,True,True
dynamic29755-2-8-Video-9b4f6a1a067fe51e15306b9628efea20,NaturalVideo,163,train,v196410,300,True,300,300,414,300,414,True,True,True,True,True
dynamic29755-2-8-Video-9b4f6a1a067fe51e15306b9628efea20,NaturalVideo,516,train,v279923,300,True,300,300,414,300,414,True,True,True,True,True
dynamic29755-2-8-Video-9b4f6a1a067fe51e15306b9628efea20,NaturalVideo,121,live_test_main,v732196,300,True,300,414,414,300,414,True,False,True,True,True
dynamic29755-2-8-Video-9b4f6a1a067fe51e15306b9628efea20,NaturalVideo,665,train,v427530,300,True,300,300,414,300,414,True,True,True,True,True
dynamic29755-2-8-Video-9b4f6a1a067fe51e15306b9628efea20,NaturalVideo,34,train,v314294,300,True,300,300,414,300,414,True,True,True,True,True
dynamic29755-2-8-Video-9b4f6a1a067fe51e15306b9628efea20,NaturalVideo,528,train,v263246,300,True,300,300,414,300,414,True,True,True,True,True
dynamic29755-2-8-Video-9b4f6a1a067fe51e15306b9628efea20,NaturalVideo,148,oracle,v496138,300,True,300,300,414,300,414,True,True,True,True,True
dynamic29755-2-8-Video-9b4f6a1a067fe51e15306b9628efea20,NaturalVideo,507,oracle,v464153,300,True,300,300,414,300,414,True,True,True,True,True
dynamic29755-2-8-Video-9b4f6a1a067fe51e15306b9628efea20,NaturalVideo,429,train,v283241,300,True,300,300,414,300,414,True,True,True,True,True
dynamic29755-2-8-Video-9b4f6a1a067fe51e15306b9628efea20,NaturalVideo,8,live_test_main,v286684,300,True,300,414,414,300,414,True,False,True,True,True
dynamic29755-2-8-Video-9b4f6a1a067fe51e15306b9628efea20,NaturalVideo,575,final_test_main,v096291,300,True,300,414,414,300,414,True,False,True,True,True
dynamic29755-2-8-Video-9b4f6a1a067fe51e15306b9628efea20,PinkNoise,71,final_test_bonus,v035864,324,True,324,414,414,324,414,True,False,True,True,True
dynamic29755-2-8-Video-9b4f6a1a067fe51e15306b9628efea20,NaturalVideo,115,train,v422288,300,True,300,300,414,300,414,True,True,True,True,True
dynamic29755-2-8-Video-9b4f6a1a067fe51e15306b9628efea20,NaturalVideo,629,train,v679962,300,True,300,300,414,300,414,True,True,True,True,True
