label,ID,trial,trial_type,valid_frames,valid_trial
NaturalVideo,v902450,550,train,300,True
NaturalVideo,v189197,464,train,300,True
NaturalImages,v230207,704,live_test_bonus,319,True
NaturalVideo,v234223,285,train,300,True
NaturalVideo,v758481,383,oracle,300,True
NaturalVideo,v380515,147,train,300,True
Gabor,v653433,301,oracle,300,True
NaturalVideo,v682649,261,train,300,True
NaturalVideo,v911056,619,live_test_bonus,300,True
NaturalVideo,v220086,321,final_test_main,300,True
NaturalVideo,v270027,167,live_test_bonus,300,True
Gabor,v653433,400,final_test_main,300,True
NaturalVideo,v986557,433,train,300,True
NaturalVideo,v449436,646,final_test_main,300,True
NaturalVideo,v978403,71,oracle,300,True
NaturalVideo,v221465,190,live_test_main,300,True
NaturalVideo,v467193,180,train,300,True
NaturalVideo,v768361,265,live_test_bonus,300,True
Gabor,v114797,475,oracle,300,True
NaturalVideo,v055955,571,live_test_main,300,True
NaturalVideo,v314103,305,train,300,True
NaturalVideo,v055955,152,train,300,True
NaturalVideo,v079604,35,live_test_bonus,300,True
NaturalVideo,v051015,520,live_test_main,300,True
NaturalVideo,v022890,291,final_test_main,300,True
Gabor,v653433,132,train,300,True
PinkNoise,v178515,214,final_test_main,324,True
NaturalVideo,v909073,430,train,300,True
NaturalVideo,v314951,541,live_test_bonus,300,True
NaturalVideo,v141418,386,train,300,True
Gabor,v653433,232,train,300,True
NaturalVideo,v523317,340,final_test_main,300,True
NaturalVideo,v926681,328,train,300,True
NaturalVideo,v195663,630,train,300,True
NaturalVideo,v449436,18,train,300,True
NaturalVideo,v583922,419,train,300,True
NaturalVideo,v363494,177,train,300,True
NaturalVideo,v452060,330,final_test_bonus,300,True
NaturalVideo,v486639,26,final_test_bonus,300,True
NaturalImages,v926353,716,train,318,True
NaturalVideo,v955366,633,final_test_main,300,True
PinkNoise,v583767,43,oracle,324,True
PinkNoise,v890362,497,live_test_bonus,324,True
NaturalVideo,v399506,498,final_test_main,300,True
PinkNoise,v583767,169,train,324,True
Gabor,v114797,282,train,300,True
NaturalVideo,v364421,278,live_test_bonus,300,True
NaturalVideo,v201778,215,train,300,True
NaturalImages,v230207,686,train,319,True
PinkNoise,v588477,324,train,324,True
NaturalVideo,v735088,561,train,300,True
NaturalVideo,v574000,181,train,300,True
Gabor,v236865,119,train,300,True
Gabor,v114797,614,oracle,300,True
PinkNoise,v890362,80,live_test_main,324,True
NaturalVideo,v925202,629,train,300,True
Gabor,v002231,314,oracle,300,True
NaturalVideo,v821298,354,final_test_bonus,300,True
NaturalImages,v508437,660,train,322,True
NaturalVideo,v469449,348,final_test_bonus,300,True
NaturalVideo,v220086,604,train,300,True
NaturalVideo,v592513,626,final_test_main,300,True
NaturalImages,v926353,671,train,318,True
PinkNoise,v178515,657,train,324,True
NaturalVideo,v360325,3,oracle,300,True
NaturalVideo,v973117,622,train,300,True
Gabor,v653433,515,train,300,True
NaturalVideo,v574000,393,train,300,True
NaturalVideo,v879146,21,train,300,True
NaturalVideo,v558726,443,live_test_main,300,True
NaturalVideo,v641512,511,live_test_main,300,True
NaturalImages,v926353,678,oracle,318,True
NaturalVideo,v247523,452,train,300,True
NaturalImages,v693888,708,train,313,True
Gabor,v073561,27,final_test_bonus,300,True
NaturalVideo,v336284,174,train,300,True
NaturalVideo,v623469,352,oracle,300,True
NaturalVideo,v180016,1,train,300,True
NaturalVideo,v839581,136,train,300,True
NaturalVideo,v839581,552,train,300,True
NaturalVideo,v839581,329,oracle,300,True
NaturalVideo,v616239,95,final_test_bonus,300,True
NaturalVideo,v633176,115,train,300,True
PinkNoise,v890362,117,final_test_main,324,True
NaturalImages,v693888,672,train,313,True
Gabor,v590491,410,train,300,True
NaturalVideo,v558726,146,train,300,True
NaturalVideo,v529034,59,train,300,True
Gabor,v236865,602,oracle,300,True
NaturalVideo,v773562,217,train,300,True
NaturalVideo,v472231,61,train,300,True
NaturalVideo,v542605,311,live_test_bonus,300,True
NaturalVideo,v657603,106,train,300,True
NaturalVideo,v974176,518,live_test_main,300,True
NaturalVideo,v767767,501,train,300,True
PinkNoise,v583767,374,live_test_main,324,True
Gabor,v236865,33,live_test_main,300,True
NaturalVideo,v404265,436,train,300,True
NaturalVideo,v558726,560,train,300,True
NaturalVideo,v491518,472,train,300,True
NaturalVideo,v641448,138,train,300,True
NaturalVideo,v331475,563,final_test_main,300,True
PinkNoise,v588477,412,train,324,True
NaturalVideo,v485540,359,live_test_main,300,True
NaturalVideo,v866141,508,live_test_main,300,True
NaturalVideo,v329530,258,live_test_bonus,300,True
NaturalVideo,v986557,486,train,300,True
NaturalImages,v230207,676,final_test_bonus,319,True
NaturalImages,v230207,667,live_test_main,319,True
Gabor,v653433,465,train,300,True
NaturalVideo,v060338,637,train,300,True
Gabor,v073561,158,final_test_bonus,300,True
NaturalVideo,v022890,241,final_test_main,300,True
NaturalVideo,v538730,112,live_test_bonus,300,True
NaturalVideo,v055955,458,oracle,300,True
NaturalVideo,v467193,461,final_test_bonus,300,True
NaturalVideo,v570250,627,train,300,True
NaturalVideo,v653014,415,train,300,True
NaturalImages,v926353,687,train,318,True
NaturalVideo,v775433,5,train,300,True
NaturalVideo,v220086,195,train,300,True
NaturalVideo,v969696,607,train,300,True
NaturalImages,v508437,661,live_test_bonus,322,True
Gabor,v114797,499,train,300,True
NaturalVideo,v919003,44,train,300,True
NaturalVideo,v818832,219,final_test_main,300,True
NaturalImages,v926353,673,live_test_bonus,318,True
NaturalVideo,v770492,269,live_test_main,300,True
NaturalVideo,v656502,14,train,300,True
NaturalVideo,v324290,175,train,300,True
NaturalVideo,v624378,135,live_test_main,300,True
NaturalVideo,v525110,268,train,300,True
NaturalVideo,v198340,290,train,300,True
NaturalVideo,v849596,413,live_test_main,300,True
PinkNoise,v178515,455,train,324,True
NaturalVideo,v927078,83,oracle,300,True
NaturalVideo,v343634,429,train,300,True
Gabor,v653433,434,oracle,300,True
NaturalVideo,v596291,343,live_test_bonus,300,True
NaturalVideo,v529034,143,live_test_bonus,300,True
NaturalVideo,v051015,468,final_test_main,300,True
NaturalImages,v693888,666,train,313,True
NaturalVideo,v286834,46,train,300,True
NaturalVideo,v644796,322,final_test_main,300,True
NaturalVideo,v986557,406,train,300,True
NaturalVideo,v839581,320,live_test_bonus,300,True
NaturalVideo,v834106,583,oracle,300,True
NaturalVideo,v060338,110,final_test_main,300,True
NaturalVideo,v201778,466,final_test_bonus,300,True
NaturalVideo,v394930,559,train,300,True
PinkNoise,v469061,623,train,324,True
NaturalVideo,v870830,638,oracle,300,True
NaturalVideo,v467193,141,live_test_bonus,300,True
NaturalVideo,v363494,260,oracle,300,True
NaturalVideo,v648381,451,train,300,True
NaturalImages,v827550,711,train,317,True
NaturalVideo,v931526,316,final_test_bonus,300,True
NaturalVideo,v228618,522,train,300,True
Gabor,v002231,435,train,300,True
NaturalVideo,v939651,317,final_test_bonus,300,True
NaturalVideo,v882126,179,live_test_bonus,300,True
